user_name,twitter_id,party_name,state,office_title,account_type,first_name,middle_name,last_name,suffix,status,collecting,showing,bioguide_id,gender,fec_candidate_id,district,branch
GeneralMcGuire,1398328682377326592,Republican,AZ,Senate Candidate,campaign,Mick,"",McGuire,"",1,true,true,,M,S2AZ00349,00,S
brnoforaz,1730716639,Republican,AZ,Senate Candidate,campaign,Mark,"",Brnovich,"",1,true,true,,M,S2AZ00356,00,S
CharlieTruth,42024159,Democrat,AL,House Candidate,campaign,Charles,"",Thompson,"",1,true,true,,M,H2AL05144,05,H
BlalockFor,1392517243745996808,Republican,AL,House Candidate,campaign,Andy,"",Bladlock,"",1,true,true,,M,H2AL05110,05,H
FriendsOfCasey,1393714059229417473,Republican,AL,House Candidate,campaign,Casey,"",Wardynski,"",1,true,true,,M,H2AL05128,05,H
TheBlueSquire,875184435745873921,Republican,AL,Senate Candidate,campaign,Jake,"",Schafer,"",1,true,true,,M,S2AL00160,00,S
KatieBrittforAL,1400915708259696640,Republican,AL,Senate Candidate,campaign,Katie,"",Britt,"",1,true,true,,F,S2AL00145,00,S
alaskans4gregg,1410644301466513409,Republican,AK,House Candidate,campaign,Gregg,"",Brelsford,"",1,true,true,,M,H2AK01075,01,H
shannon_rep,1325687515429310471,Republican,AK,House Candidate,campaign,Shannon,Scott,Evans,"",1,true,true,,M,H2AK01067,01,H
jim_pillen,1377648577284038658,Republican,NE,Gubernatorial Candidate,campaign,Jim,"",Pillen,"",1,true,true,,M,"",00,""
PalmerforIL,1406346913885130754,Democrat,IL,House Candidate,campaign,David,"",Palmer,"",1,true,true,,M,H2IL13146,13,H
AlishaKShelton,1178703007380381696,Democrat,NE,House Candidate,campaign,Alisha,"",Shelton,"",1,true,true,,F,H2NE02124,02,H
TonyVargas,32314377,Democrat,NE,House Candidate,campaign,Tony,"",Vargas,"",1,true,true,,M,H2NE02132,02,H
CWHerbster,1042802761782517760,Republican,NE,Gubernatorial Candidate,campaign,Charles,W,Herbster,"",1,true,true,,M,"",00,""
troyc4Congress,18582998,Democrat,LA,House Representative,campaign,Troy,"",Carter,"",1,true,true,,M,H2LA02149,02,H
MelanieforNM,961359779003121665,Democrat,NM,House Candidate,campaign,Melanie,"",Stansbury,"",1,true,true,,F,H2NM01144,02,H
RepTroyCarter,1352760304271241218,Democrat,LA,House Representative,official,Troy,"",Carter,"",1,true,true,,M,H2LA02149,02,H
Rep_Stansbury,1404519992582942724,Democrat,NM,House Representative,official,Melanie,"",Stansbury,"",1,true,true,,F,H2NM01144,02,H
MarissaSelvig,1282083250580582400,Republican,WY,House Candidate,campaign,Marissa,Joy,Selvig,"",1,true,true,,F,H2WY01016,00,H
ChuckForWyoming,725350007537324032,Republican,WY,House Candidate,campaign,Chuck,"",Gray,"",1,true,true,,M,H2WY01032,00,H
NelsonforWI,1187144042,Democrat,WI,Senate Candidate,campaign,Tom,"",Nelson,"",1,true,true,,M,S0WI00247,00,S
AlexLasryWI,437223803,Democrat,WI,Senate Candidate,campaign,Alex,"",Lasry,"",1,true,true,,M,S2WI00342,00,S
AlWashburn,610467631,Democrat,WI,House Candidate,campaign,Amy,"",Washburn,"",1,true,true,,F,H0WI06194,06,H
SmileyForWA,3299813970,Republican,WA,Senate Candidate,campaign,Tiffany,"",Smiley,"",1,true,true,,F,S2WA00387,00,S
NICK4WA,1301731845596278785,Democrat,WA,Senate Candidate,campaign,Nick,"",Sleister,"",1,true,true,,M,S2WA00338,00,S
